iter	Accuracy	Logloss
822	0.9999440575	0.01030536387
823	0.9999440575	0.01029717106
824	0.9999440575	0.01029713241
825	0.9999440575	0.01029375763
826	0.9999440575	0.01027497069
827	0.9999440575	0.01027495567
828	0.9999440575	0.01025750639
829	0.9999440575	0.0101938262
830	0.9999440575	0.01019365253
831	0.9999440575	0.01018886372
832	0.9999440575	0.01018877157
833	0.9999440575	0.01018877157
834	0.9999440575	0.01017441062
835	0.9999440575	0.01017432907
836	0.9999440575	0.01016631892
837	0.9999440575	0.01016629434
838	0.9999440575	0.01015597766
839	0.9999440575	0.01013654163
840	0.9999440575	0.01013622146
841	0.9999440575	0.01011569822
842	0.9999440575	0.01010798503
843	0.9999440575	0.01010053193
844	0.9999440575	0.01010047592
845	0.9999440575	0.01010022438
846	0.9999440575	0.01010018354
847	0.9999440575	0.01009989786
848	0.9999440575	0.01009553626
849	0.9999440575	0.01005065422
850	0.9999440575	0.01000355955
851	0.9999440575	0.009978403278
852	0.9999440575	0.009940382712
853	0.9999440575	0.009937531602
854	0.9999440575	0.00993488604
855	0.9999440575	0.009934826049
856	0.9999440575	0.009929035783
857	0.9999440575	0.009928008786
858	0.9999440575	0.009902514423
859	0.9999440575	0.009902459181
860	0.9999440575	0.009901672775
861	0.9999440575	0.009901627353
862	0.9999440575	0.009901513284
863	0.9999440575	0.009890174735
864	0.9999440575	0.009890131107
865	0.9999440575	0.009889959226
866	0.9999440575	0.009884612283
867	0.9999440575	0.009884533268
868	0.9999440575	0.00988437659
869	0.9999440575	0.009881327364
870	0.9999440575	0.009881258543
871	0.9999440575	0.009881224417
872	0.9999440575	0.009875945384
873	0.9999440575	0.009875814057
874	0.9999440575	0.009867753663
875	0.9999440575	0.009857240017
876	0.9999440575	0.009820555082
